127.0.0.1 - - [05/May/2026:18:25:01 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [05/May/2026:18:25:02 +0530] "GET /Project/index.jsp HTTP/1.1" 200 31936
0:0:0:0:0:0:0:1 - - [05/May/2026:18:25:02 +0530] "GET /Project/css/themify-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2026:18:25:02 +0530] "GET /Project/vendors/nice-select/css/nice-select.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2026:18:25:02 +0530] "GET /Project/vendors/animate-css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2026:18:25:02 +0530] "GET /Project/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2026:18:25:02 +0530] "GET /Project/css/flaticon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2026:18:25:02 +0530] "GET /Project/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2026:18:25:02 +0530] "GET /Project/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2026:18:25:02 +0530] "GET /Project/vendors/jquery-ui/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2026:18:25:02 +0530] "GET /Project/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2026:18:25:02 +0530] "GET /Project/vendors/lightbox/simpleLightbox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2026:18:25:02 +0530] "GET /Project/vendors/linericon/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2026:18:25:02 +0530] "GET /Project/vendors/owl-carousel/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2026:18:25:02 +0530] "GET /Project/img/product/feature-product/f-p-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2026:18:25:02 +0530] "GET /Project/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2026:18:25:02 +0530] "GET /Project/img/product/feature-product/f-p-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2026:18:25:02 +0530] "GET /Project/js/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2026:18:25:02 +0530] "GET /Project/img/product/feature-product/f-p-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2026:18:25:02 +0530] "GET /Project/img/product/new-product/new-product1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2026:18:25:02 +0530] "GET /Project/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2026:18:25:02 +0530] "GET /Project/js/popper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2026:18:25:02 +0530] "GET /Project/vendors/lightbox/simpleLightbox.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2026:18:25:02 +0530] "GET /Project/js/stellar.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2026:18:25:02 +0530] "GET /Project/vendors/nice-select/js/jquery.nice-select.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2026:18:25:02 +0530] "GET /Project/vendors/isotope/isotope-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2026:18:25:02 +0530] "GET /Project/vendors/owl-carousel/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2026:18:25:02 +0530] "GET /Project/vendors/isotope/imagesloaded.pkgd.min.js HTTP/1.1" 304 -
